Title,Domain,Branch,Type,Price,Description,ImageURL,DemoVideoURL,Tags,Featured
Security Integrated system based on wireless access protocol for industrial applications with SMS alert system using GSM modem,Simulation,ECE,Prototype,9499,Project focusing on security integrated system based on wireless access protocol for industrial applications with sms alert system using gsm modem.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, ECE",FALSE
Fabrication of Thermometer with SMS alerts,Machine Learning,Mechanical,Prototype,9037,Project focusing on fabrication of thermometer with sms alerts.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, Mechanical",FALSE
Irrigation water pump controller for illiterates based on dual GSM Modems,Embedded,Medical,Product,8632,Project focusing on irrigation water pump controller for illiterates based on dual gsm modems.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Medical",FALSE
Remote monitoring and control of digital Energy Meter using GSM,Machine Learning,Medical,Product,8499,Project focusing on remote monitoring and control of digital energy meter using gsm.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, Medical",FALSE
Electrical Home appliances monitoring and controlling system using GSM with fencing auto alerts,Robotics,EEE,Product,10002,Project focusing on electrical home appliances monitoring and controlling system using gsm with fencing auto alerts.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, EEE",FALSE
Design of Fan Speed Controller Based on temperature and SMS alerts using GSM modem,Embedded,EEE,Product,8573,Project focusing on design of fan speed controller based on temperature and sms alerts using gsm modem.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, EEE",TRUE
Implementation of UPS battery monitoring system over GSM for high availability systems (banking/finance/medical etc),Machine Learning,Medical,Product,8499,Project focusing on implementation of ups battery monitoring system over gsm for high availability systems (banking/finance/medical etc).,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, Medical",FALSE
GSM and Zigbee Based Real-time home robotization,Robotics,Mechanical,Prototype,12499,Project focusing on gsm and zigbee based real-time home robotization.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical",FALSE
"Home security System based on LPG gas, Smoke and Fire Sensors with SMS based alerts",Robotics,ECE,Product,10501,"Project focusing on home security system based on lpg gas, smoke and fire sensors with sms based alerts.",ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, ECE",TRUE
Motor speed and direction controlling system based on Touch screen,Machine Learning,Mechanical,Product,9037,Project focusing on motor speed and direction controlling system based on touch screen.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, Mechanical",TRUE
Controlling of incandescent bulbs intensity by using Touch screen and microcontroller,IoT,Civil,Product,6499,Project focusing on controlling of incandescent bulbs intensity by using touch screen and microcontroller.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, Civil",TRUE
Touch screen based temperature monitoring and control system with graphical LCD,Machine Learning,ECE,Product,5999,Project focusing on touch screen based temperature monitoring and control system with graphical lcd.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, ECE",TRUE
Volumetric Oil Dispenser operated by Touch screen,IoT,Mechanical,Product,8605,Project focusing on volumetric oil dispenser operated by touch screen.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, Mechanical",FALSE
TV Remote Based Controlling of PC and Devices with Password protection,IoT,CSE,Product,8750,Project focusing on tv remote based controlling of pc and devices with password protection.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, CSE",FALSE
UPFC - Unified Power Factor Control,Large AI,EEE,Prototype,10890,Project focusing on upfc - unified power factor control.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, EEE",TRUE
Touch screen based AC motor speed Monitoring and control system,Large AI,Mechanical,Product,10105,Project focusing on touch screen based ac motor speed monitoring and control system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, Mechanical",TRUE
Transformer Overload alert with voice announcing feature,Robotics,Mechanical,Product,12499,Project focusing on transformer overload alert with voice announcing feature.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical",FALSE
DTMF based -phase irrigation Control with Feedback,Embedded,ECE,Product,8599,Project focusing on dtmf based -phase irrigation control with feedback.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, ECE",FALSE
DC Motors speed synchronization for rolling mills (With two motors with display on LCD),Simulation,Mechanical,Prototype,9524,Project focusing on dc motors speed synchronization for rolling mills (with two motors with display on lcd).,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Mechanical",FALSE
High voltage fuse blown indicator with display on PC with optical isolation between PC and HV bus bars,Large AI,Civil,Product,7499,Project focusing on high voltage fuse blown indicator with display on pc with optical isolation between pc and hv bus bars.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, Civil",TRUE
GSM Based POWER GRID devices monitoring and controlling system,Machine Learning,EEE,Product,9801,Project focusing on gsm based power grid devices monitoring and controlling system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",TRUE
Design of automatic single phasing preventing system for -phase industrial Motors,Robotics,Mechanical,Prototype,12499,Project focusing on design of automatic single phasing preventing system for -phase industrial motors.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical",FALSE
SMS Technology based Energy meter monitoring and control system,Robotics,Medical,Prototype,10501,Project focusing on sms technology based energy meter monitoring and control system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Medical",FALSE
Transformer oil temperature monitoring with automatic Circuit Breaker operation,Embedded,Medical,Prototype,8632,Project focusing on transformer oil temperature monitoring with automatic circuit breaker operation.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Medical",FALSE
Voice enabled V lamp dimmer with levels of intensity control,Robotics,Medical,Prototype,10501,Project focusing on voice enabled v lamp dimmer with levels of intensity control.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Medical",TRUE
Priority based power distribution system,IoT,EEE,Product,9253,Project focusing on priority based power distribution system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, EEE",FALSE
Centralized energy meter for display distance at meters - Avoiding tampering of electrical energy meter in houses,Machine Learning,EEE,Prototype,9801,Project focusing on centralized energy meter for display distance at meters - avoiding tampering of electrical energy meter in houses.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",TRUE
Wireless Power Factor monitoring and controlling through PC,Large AI,EEE,Prototype,10890,Project focusing on wireless power factor monitoring and controlling through pc.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, EEE",TRUE
Development of parabolic solar reflectors,IoT,EEE,Prototype,9253,Project focusing on development of parabolic solar reflectors.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, EEE",FALSE
Transformer load sharing with SMS alerting,Machine Learning,Civil,Product,9037,Project focusing on transformer load sharing with sms alerting.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, Civil",FALSE
FOOT STEP POWER GENERATION SYSTEM,Machine Learning,EEE,Prototype,9801,Project focusing on foot step power generation system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",TRUE
Under ground -phase fault detection,Large AI,Civil,Product,7499,Project focusing on under ground -phase fault detection.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, Civil",FALSE
Design and construction of Earth fault relay for single phase power system,Machine Learning,EEE,Product,9801,Project focusing on design and construction of earth fault relay for single phase power system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",TRUE
Maximum Demand Controller & Fault Alerting For Industries,Embedded,Medical,Prototype,8632,Project focusing on maximum demand controller & fault alerting for industries.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Medical",TRUE
Wireless mobile phone charging based on wireless power transmission,Simulation,EEE,Product,9528,Project focusing on wireless mobile phone charging based on wireless power transmission.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",FALSE
Wireless power theft monitoring with automatic circuit breaker system and indication at local substations,Robotics,EEE,Product,10002,Project focusing on wireless power theft monitoring with automatic circuit breaker system and indication at local substations.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, EEE",FALSE
Energy Tapping Identifier using Wireless Data Acquisition System,Embedded,ECE,Prototype,8599,Project focusing on energy tapping identifier using wireless data acquisition system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, ECE",FALSE
Automatic Active Phase selector for single phase load from three phase supply,Large AI,EEE,Product,10890,Project focusing on automatic active phase selector for single phase load from three phase supply.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, EEE",FALSE
Bluetooth Energy Meter,Robotics,Medical,Prototype,10501,Project focusing on bluetooth energy meter.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Medical",TRUE
Water pumping system using Wind Power,Simulation,EEE,Product,9528,Project focusing on water pumping system using wind power.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",TRUE
GSM based SCADA Execution using IR Sensor for industrial applications,Large AI,Medical,Product,10105,Project focusing on gsm based scada execution using ir sensor for industrial applications.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, Medical",FALSE
GSM Based Monitoring and Auto-Controlling of -phase irrigation motor,IoT,Mechanical,Product,8605,Project focusing on gsm based monitoring and auto-controlling of -phase irrigation motor.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, Mechanical",TRUE
Hybrid Power Generation Based Portable Refrigerator,Large AI,EEE,Prototype,10890,Project focusing on hybrid power generation based portable refrigerator.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, EEE",TRUE
Design And Implementation On The Intelligent Management System Of Garage In The Community Based On Zigbee,IoT,EEE,Product,9253,Project focusing on design and implementation on the intelligent management system of garage in the community based on zigbee.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, EEE",TRUE
Advanced Railway Track Fault Detection System With Remote Station Messaging System Using Zigbee Communication,Machine Learning,Civil,Product,9037,Project focusing on advanced railway track fault detection system with remote station messaging system using zigbee communication.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, Civil",FALSE
Solar Based Air Compressor Pump For Car Bike Tire Inflate,Machine Learning,EEE,Prototype,9801,Project focusing on solar based air compressor pump for car bike tire inflate.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",FALSE
Fabrication of Electric Scooter with Self Charging Dynamos,IoT,CSE,Product,8750,Project focusing on fabrication of electric scooter with self charging dynamos.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, CSE",TRUE
A High Step up Converter with a Voltage Multiplier,Large AI,CSE,Prototype,10105,Project focusing on a high step up converter with a voltage multiplier.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, CSE",TRUE
Wind Power Based Refrigerator,Simulation,EEE,Prototype,9528,Project focusing on wind power based refrigerator.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",FALSE
Various Control Of Electrical & Electronic Equipment Using DTMF With Voice Assistance,Robotics,EEE,Prototype,10002,Project focusing on various control of electrical & electronic equipment using dtmf with voice assistance.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, EEE",FALSE
Realization of Home Automation Control System & High Security Using Power Line Communication Technology,Simulation,EEE,Prototype,9528,Project focusing on realization of home automation control system & high security using power line communication technology.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",FALSE
Energy-Efficient Wireless Multimedia Sensor Networks Using FM as A Control Channel,IoT,Mechanical,Prototype,8605,Project focusing on energy-efficient wireless multimedia sensor networks using fm as a control channel.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, Mechanical",TRUE
Industrial Security System with Intruder Detection Alerts Using FM Radio Signals,Simulation,Medical,Product,9524,Project focusing on industrial security system with intruder detection alerts using fm radio signals.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Medical",TRUE
A Smart Card Based Prepaid Electricity System With FM Transmission Alerts,Machine Learning,CSE,Product,8699,Project focusing on a smart card based prepaid electricity system with fm transmission alerts.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, CSE",TRUE
Auto Metro Train to Shuttle between Stations and Station name announcement using FM radio signals,Machine Learning,ECE,Product,5999,Project focusing on auto metro train to shuttle between stations and station name announcement using fm radio signals.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, ECE",FALSE
Design and Construction of Central Irrigation Motor Control Unit with FM Radio Transmissions Enabled Features,Embedded,Mechanical,Prototype,12500,Project focusing on design and construction of central irrigation motor control unit with fm radio transmissions enabled features.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Mechanical",FALSE
Design and Development of College Radio with Our Own Frequency For mtrs Of Region,Embedded,ECE,Prototype,8599,Project focusing on design and development of college radio with our own frequency for mtrs of region.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, ECE",TRUE
Design of a Remote Measurement and Control System For Green House Based On FM Radio,Large AI,Mechanical,Prototype,10105,Project focusing on design of a remote measurement and control system for green house based on fm radio.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, Mechanical",FALSE
Security Integrated System Based On Wireless Access Protocol For Industrial Applications With FM Radio Signals Based Announcements,Robotics,Mechanical,Product,12499,Project focusing on security integrated system based on wireless access protocol for industrial applications with fm radio signals based announcements.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical",FALSE
Advanced Fire Extinguisher Robot Controlling With Android Mobile Phone,Robotics,Mechanical,Product,12499,Project focusing on advanced fire extinguisher robot controlling with android mobile phone.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical",TRUE
Remote Ac Power Control By Android Application With LCD Display,Robotics,EEE,Prototype,10002,Project focusing on remote ac power control by android application with lcd display.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, EEE",TRUE
Program Based Accurate Intensity Control Lamp,IoT,EEE,Product,9253,Project focusing on program based accurate intensity control lamp.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, EEE",TRUE
Induction Motor Speed Control By Thyristor,Simulation,Mechanical,Product,9524,Project focusing on induction motor speed control by thyristor.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Mechanical",TRUE
ACPWM Control for Induction Motor,Machine Learning,Mechanical,Prototype,9037,Project focusing on acpwm control for induction motor.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, Mechanical",FALSE
Integrated Energy Management System Based On GSM With User Programmable Number Features And Acknowledgement Features,Robotics,Civil,Product,10501,Project focusing on integrated energy management system based on gsm with user programmable number features and acknowledgement features.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Civil",TRUE
Integral Cycle Switching (Cycle Stealing) Means Of Power Control Without Generating Harmonics,IoT,EEE,Product,9253,Project focusing on integral cycle switching (cycle stealing) means of power control without generating harmonics.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, EEE",TRUE
Automatic Star Delta Starter Using Relays and Adjustable Electronic Timer for Induction Motor,Simulation,Mechanical,Prototype,9524,Project focusing on automatic star delta starter using relays and adjustable electronic timer for induction motor.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Mechanical",TRUE
Three Phase Fault Analysis with Auto Reset On Temporary Fault and Permanent Trip Otherwise,Embedded,Mechanical,Product,12500,Project focusing on three phase fault analysis with auto reset on temporary fault and permanent trip otherwise.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Mechanical",TRUE
"Auto Selection of Optimum Power From Different Sources-Solar, Mains, Generator & Inverter To Ensure No Break Power",Machine Learning,EEE,Product,9801,"Project focusing on auto selection of optimum power from different sources-solar, mains, generator & inverter to ensure no break power.",ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",FALSE
Grid Synchronization Fail Detection on Sensing Frequency Or Voltage Beyond Range,Machine Learning,EEE,Prototype,9801,Project focusing on grid synchronization fail detection on sensing frequency or voltage beyond range.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",FALSE
APFC (Automatic Power Factor Compensation) For Industrial Power Use to Minimize Penalty,Robotics,EEE,Prototype,10002,Project focusing on apfc (automatic power factor compensation) for industrial power use to minimize penalty.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, EEE",TRUE
Electric Line Man Safety with Password Based Circuit Breaker,Simulation,Medical,Prototype,9524,Project focusing on electric line man safety with password based circuit breaker.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Medical",FALSE
Intelligent Pollution Control System: Auto Ignition Cut Off For Automotives By Detecting Carbon Monoxide,Robotics,Civil,Product,10501,Project focusing on intelligent pollution control system: auto ignition cut off for automotives by detecting carbon monoxide.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Civil",TRUE
Solar Based Electric Car,Simulation,EEE,Product,9528,Project focusing on solar based electric car.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",FALSE
Sensor Movement Based Sensor Switching For Data Acquisition,Embedded,Mechanical,Prototype,12500,Project focusing on sensor movement based sensor switching for data acquisition.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Mechanical",FALSE
Zigbee Based Sensor Networks For Temperature Monitoring And Controlling,Simulation,ECE,Prototype,9499,Project focusing on zigbee based sensor networks for temperature monitoring and controlling.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, ECE",FALSE
Wireless Relay Controller Using Android Smartphone,IoT,CSE,Product,8750,Project focusing on wireless relay controller using android smartphone.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, CSE",FALSE
Wireless Transmission And Analysis Of Physical Variations In The Atmosphere Using Zigbee,Embedded,EEE,Prototype,8573,Project focusing on wireless transmission and analysis of physical variations in the atmosphere using zigbee.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, EEE",TRUE
Smart home using Android application,Large AI,Civil,Product,7499,Project focusing on smart home using android application.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, Civil",FALSE
Railway Track Pedestrian Crossing between Platforms (Movable and flexible railway platform),Machine Learning,Civil,Product,9037,Project focusing on railway track pedestrian crossing between platforms (movable and flexible railway platform).,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, Civil",TRUE
Real Time Atomization of Agriculture System Using Arm,Embedded,CSE,Product,6499,Project focusing on real time atomization of agriculture system using arm.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, CSE",TRUE
PI Controller for Energy Management System in Hybrid Electric Ship,Simulation,Civil,Product,9524,Project focusing on pi controller for energy management system in hybrid electric ship.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Civil",FALSE
High Way Vehicle Speed Control & Automatic Breaking System,Large AI,CSE,Product,10105,Project focusing on high way vehicle speed control & automatic breaking system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, CSE",FALSE
Green cooperative communication network using renewable energy sources,Embedded,Mechanical,Product,12500,Project focusing on green cooperative communication network using renewable energy sources.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Mechanical",FALSE
Fire Accident Avoidance System in Trains Using GSM Technology,Machine Learning,Medical,Prototype,8499,Project focusing on fire accident avoidance system in trains using gsm technology.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, Medical",FALSE
Design and implementation of a WiFi sensor device management system,IoT,Medical,Prototype,6999,Project focusing on design and implementation of a wifi sensor device management system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, Medical",FALSE
WiFi Sensor Networks: A study of energy consumption,Embedded,Mechanical,Prototype,12500,Project focusing on wifi sensor networks: a study of energy consumption.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Mechanical",TRUE
Greening Residential WiFi Networks under Centralized Control,Machine Learning,CSE,Prototype,8699,Project focusing on greening residential wifi networks under centralized control.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, CSE",FALSE
Developments of the in-home display systems for residential energy monitoring,Embedded,Medical,Prototype,8632,Project focusing on developments of the in-home display systems for residential energy monitoring.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Medical",FALSE
A Green Solution for Intelligent Metropolitan Heating system with uSDCards,Large AI,Medical,Product,10105,Project focusing on a green solution for intelligent metropolitan heating system with usdcards.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, Medical",FALSE
Effectiveness of current methods for determining the nutrient level of soil ideal for crop cultivation and an approach to implement new technologies to test the soil,Machine Learning,ECE,Product,5999,Project focusing on effectiveness of current methods for determining the nutrient level of soil ideal for crop cultivation and an approach to implement new technologies to test the soil.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, ECE",FALSE
Droid Ei – An Approach to Android Electronic Integration,Embedded,Medical,Product,8632,Project focusing on droid ei – an approach to android electronic integration.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Medical",TRUE
Development of Solar Dryer Incorporated With Evacuated Tube Collector,Large AI,EEE,Product,10890,Project focusing on development of solar dryer incorporated with evacuated tube collector.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, EEE",FALSE
Design of an Automatic Water Level Controller Using Mercury Float Switch,Machine Learning,EEE,Product,9801,Project focusing on design of an automatic water level controller using mercury float switch.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",TRUE
Solar data logger into USB Pen drive,IoT,EEE,Prototype,9253,Project focusing on solar data logger into usb pen drive.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, EEE",FALSE
ARM- based Automated Irrigation System Using a Wireless Sensor Network and GPRS Module,Embedded,EEE,Product,8573,Project focusing on arm- based automated irrigation system using a wireless sensor network and gprs module.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, EEE",FALSE
Under ground -phase fault detection,Large AI,CSE,Product,10105,Project focusing on under ground -phase fault detection.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, CSE",FALSE
Wireless mobile phone charging based on wireless power transmission,Machine Learning,EEE,Product,9801,Project focusing on wireless mobile phone charging based on wireless power transmission.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",FALSE
Accessible Display Design To Control Home Area Networks Power Line Carrier Communication (PLCC),Machine Learning,EEE,Prototype,9801,Project focusing on accessible display design to control home area networks power line carrier communication (plcc).,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",FALSE
An Advanced Central Irrigation Control Unit Helpful For Farmers By Preventing Electric Shocks By Using Power Line Carrier Communication (PLCC),Large AI,EEE,Prototype,10890,Project focusing on an advanced central irrigation control unit helpful for farmers by preventing electric shocks by using power line carrier communication (plcc).,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, EEE",FALSE
Universal Remote Controller For Home/ Industrial Devices Controlling Using Power Line Carrier Communication (PLCC),IoT,EEE,Product,9253,Project focusing on universal remote controller for home/ industrial devices controlling using power line carrier communication (plcc).,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, EEE",TRUE
-Phase Induction Motor Safety System Implementation Using Power Line Carrier Communication (PLCC),Robotics,EEE,Product,10002,Project focusing on -phase induction motor safety system implementation using power line carrier communication (plcc).,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, EEE",TRUE
Energy Tampering Identification in Highway Electric Lines Using Power Line Carrier Communication (PLCC),Robotics,EEE,Product,10002,Project focusing on energy tampering identification in highway electric lines using power line carrier communication (plcc).,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, EEE",FALSE
Energy Meter Tampering Alerting System (Power Theft) Using Power Line Carrier Communication (PLCC),Machine Learning,EEE,Product,9801,Project focusing on energy meter tampering alerting system (power theft) using power line carrier communication (plcc).,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",FALSE
FM Radio Signals Based Power Theft Monitoring With Automatic Circuit Breaker System,Large AI,EEE,Product,10890,Project focusing on fm radio signals based power theft monitoring with automatic circuit breaker system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, EEE",TRUE
Power Grid Monitoring and Controlling Through Power Line Carrier Communication (PLCC),Large AI,EEE,Prototype,10890,Project focusing on power grid monitoring and controlling through power line carrier communication (plcc).,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, EEE",TRUE
Programmable Load Shedding Time Management for Utility Development,Machine Learning,ECE,Prototype,5999,Project focusing on programmable load shedding time management for utility development.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, ECE",FALSE
GSM based Energy meter with tampering alert,Simulation,Civil,Product,9524,Project focusing on gsm based energy meter with tampering alert.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Civil",TRUE
Universal remote controller with haptic interface for customer electronic devices,Robotics,Medical,Prototype,10501,Project focusing on universal remote controller with haptic interface for customer electronic devices.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Medical",FALSE
Automated Power factor correction and Notifications through the GSM technology,Embedded,EEE,Prototype,8573,Project focusing on automated power factor correction and notifications through the gsm technology.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, EEE",FALSE
Fabrication of solar irrigation System,Large AI,EEE,Prototype,10890,Project focusing on fabrication of solar irrigation system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, EEE",FALSE
Solar induction motor driver,Machine Learning,EEE,Product,9801,Project focusing on solar induction motor driver.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",TRUE
"Hybrid power generation using solar, wind and hydel and designing of high efficient inverter",Robotics,EEE,Prototype,10002,"Project focusing on hybrid power generation using solar, wind and hydel and designing of high efficient inverter.",ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, EEE",TRUE
Fabrication of solar powered Grass Cutting Machine,Simulation,EEE,Product,9528,Project focusing on fabrication of solar powered grass cutting machine.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",TRUE
Fabrication of hydroelectric power generation system,Large AI,EEE,Product,10890,Project focusing on fabrication of hydroelectric power generation system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, EEE",FALSE
Fabrication of Steam Power Plant with generators,IoT,EEE,Product,9253,Project focusing on fabrication of steam power plant with generators.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, EEE",TRUE
Prepaid Electricity System using Smart Card,Machine Learning,Medical,Prototype,8499,Project focusing on prepaid electricity system using smart card.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, Medical",FALSE
GSM Based Prepaid energy meter,Machine Learning,EEE,Prototype,9801,Project focusing on gsm based prepaid energy meter.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",FALSE
DC Motor Speed Controlling using SMS with password protection,Simulation,Mechanical,Prototype,9524,Project focusing on dc motor speed controlling using sms with password protection.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Mechanical",TRUE
"Hybrid Power Generation using Solar, Wind and Piezo",Embedded,EEE,Prototype,8573,"Project focusing on hybrid power generation using solar, wind and piezo.",ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, EEE",TRUE
PIC Based Hybrid Power Generation,Machine Learning,EEE,Prototype,9801,Project focusing on pic based hybrid power generation.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",FALSE
